country_name,country_code,indicator_name,indicator_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,543300000000.0,563300000000.0,605100000000.0,638600000000.0,685800000000.0,743700000000.0,815000000000.0,861700000000.0,942500000000.0,1019900000000.0,1073303000000.0,1164850000000.0,1279110000000.0,1425376000000.0,1545243000000.0,1684904000000.0,1873412000000.0,2081826000000.0,2351599000000.0,2627333000000.0,2857307000000.0,3207041000000.0,3343789000000.0,3634038000000.0,4037613000000.0,4338979000000.0,4579631000000.0,4855215000000.0,5236438000000.0,5641580000000.0,5963144000000.0,6158129000000.0,6520327000000.0,6858559000000.0,7287236000000.0,7639749000000.0,8073122000000.0,8577554457000.0,9062818202000.0,9631174489000.0,10250947997000.0,10581929774000.0,10929112955000.0,11456442041000.0,12217193198000.0,13039199193000.0,13815586948000.0,14474226905000.0,14769857911000.0,14478064934000.0,15048964444000.0,15599728123000.0,16253972230000.0,16843190993000.0,17550680174000.0,18206020741000.0,18695110842000.0,19477336549000.0,20533057312000.0,21380976119000.0,21060473613000.0,23315080560000.0,
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,59716467625.3,50056868957.7,47209359005.6,50706799902.5,59708343488.5,70436266146.7,76720285969.6,72881631326.7,70846535055.7,79705906247.5,92602973434.1,99800958648.1,113687586299.1,138544284709.0,144182133387.7,163431551779.8,153940455341.5,174938098826.6,149540752829.3,178280594413.0,191149211575.0,195866382432.5,205089699858.8,230686747153.3,259946510957.1,309488028132.7,300758100107.3,272972974764.6,312353631207.8,347768051311.7,360857912566.0,383373318083.6,426915712711.2,444731282436.8,564324670005.9,734547898220.5,863746717503.8,961603952951.8,1029043097554.1,1093997267271.1,1211346869605.2,1339395718865.3,1470550015081.6,1660287965662.7,1955347004963.3,2285965892360.5,2752131773355.2,3550342737010.8,4594307032660.8,5101703073086.0,6087163874512.2,7551500124203.4,8532229986993.7,9570406235659.6,10475682920594.5,11061553079876.4,11233276536737.2,12310409370892.8,13894817549374.2,14279937500606.5,14687673892882.0,17734062645371.4,
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,44307342950.4,53508617739.4,60723018683.7,69498131797.3,81749006381.5,90950278257.8,105628070343.1,123781880217.6,146601072685.5,172204199480.9,212609187919.4,240151807460.2,318031297492.4,432082670450.7,479625998613.4,521541905673.3,586161858999.7,721411786536.8,1013612173518.8,1055012119526.3,1105385973763.9,1218988935129.8,1134518001884.6,1243323592058.8,1318381627003.8,1398892744820.7,2078953333673.6,2532808573157.0,3071683013178.9,3054914166263.2,3132817652848.0,3584420077100.8,3908809463463.9,4454143876947.2,4998797547741.0,5545563663889.7,4923391533851.6,4492448605638.9,4098362709531.2,4635982224063.9,4968359075956.6,4374711694090.9,4182846045873.6,4519561645253.5,4893116005656.6,4831467035389.8,4601663122649.9,4579750920354.8,5106679115127.3,5289493117993.9,5759071769013.1,6233147172341.4,6272362996105.0,5212328181166.2,4896994405353.3,4444930651964.2,5003677627544.2,4930837369151.4,5037835383111.0,5123318151510.6,5040107754084.1,4940877780755.3,
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,215838448137.7,249985055484.3,299801542047.5,398374021953.9,445303484241.6,490636517211.2,519754453161.4,600498238019.0,740469983446.9,881345176608.7,950290856466.5,800472055387.3,776576439107.0,770684323247.8,725111123634.1,732534887058.2,1046259374943.7,1298176105549.5,1401233225303.5,1398967436804.3,1771671206875.7,1868945197407.2,2131571696931.8,2071323790370.3,2205074123177.1,2585792275146.7,2497244606186.6,2211989623280.0,2238990774702.7,2194945278872.6,1947981991011.8,1945790973803.2,2078484517474.5,2501640388482.4,2814353869359.1,2846864211175.1,2994703642023.5,3425578382921.6,3745264093617.2,3411261212652.3,3399667820000.0,3749314991050.6,3527143188785.2,3733804649549.0,3889093051023.5,3357585719351.6,3469853463945.5,3690849152517.7,3974443355019.6,3888226035921.6,3889668895299.6,4259934911821.6,
South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,47156711563.4,50316845349.4,53705588862.9,60408336535.5,69158979751.0,74274480736.3,62456590527.8,68712974998.3,72018455260.2,79172005439.5,85711858424.0,91168836288.7,91653342271.1,104781419443.1,126934600996.3,135867529375.3,132608469998.7,153554283738.7,174721836441.9,195693106820.5,235962175079.5,250139444088.2,258792394454.4,273951470823.6,272676947697.2,296511066895.9,314034915023.2,348690445024.8,374678623631.3,378113107439.6,407066623088.9,362155106488.5,384619528153.9,380987265549.0,432196070395.4,479707286248.2,524814744482.8,550548814946.1,558258998403.6,598146491163.9,630242113893.4,645678596725.5,677426543265.1,791026659992.6,917083384278.0,1050602379488.5,1196088133181.9,1504161366105.5,1527613147687.7,1683172517764.4,2062468879446.4,2277344294977.8,2302398552628.7,2362709657679.3,2587788944338.2,2704835562385.5,3010758114572.1,3433881936826.1,3534209018062.6,3653950915835.8,3487013484521.6,4088770638066.9,
India,IND,GDP (current US$),NY.GDP.MKTP.CD,37029883876.2,39232435784.0,42161481858.1,48421923459.1,56480289941.0,59554854575.8,45865462034.3,50134942204.0,53085455870.7,58447995017.3,62422483054.7,67350988021.4,71463193831.0,85515269585.4,99525899116.1,98472796456.9,102717164466.4,121487322475.9,137300295313.3,152991653793.8,186325345086.7,193490610029.8,200715145363.2,218262273407.0,212158234167.3,232511877841.7,248985994040.6,279033584092.2,296588994812.4,296042354984.9,320979026420.0,270105341879.2,288208430384.0,279296022987.9,327275583539.6,360281952716.8,392897054348.1,415867753863.9,421351477504.7,458820417337.8,468394937262.4,485441014538.6,514937948870.1,607699285433.9,709148514804.7,820381595512.9,940259888792.1,1216735441524.9,1198895582137.5,1341886602798.7,1675615335600.6,1823049927772.1,1827637859506.3,1856722121394.4,2039127446299.3,2103587813812.8,2294797980509.0,2651472946375.1,2702929718960.5,2831552222520.0,2667687951796.5,3176295065497.2,
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,73233967692.1,77741965703.4,81247564156.8,86561961812.3,94407558351.2,101824755079.0,108572752102.1,113116888210.8,107759910067.9,116464702803.2,130671946244.3,148113896325.1,169965034965.0,192537971582.6,206131369799.0,241756637168.1,232614555256.1,263066457352.2,335883029722.0,438994070309.2,564947710899.4,540765675241.2,515048916841.4,489618008185.5,461487097632.4,489285164271.1,601452653180.9,745162608269.3,910122732123.8,926884816753.9,1093169389204.6,1142797178130.5,1179659529659.5,1061388722255.6,1140489745944.3,1346184314344.3,1421619344773.8,1561807465618.9,1655061278569.1,1689289758938.7,1666126494174.6,1648658413703.8,1785843824940.1,2056612244898.0,2422958623214.9,2544805454545.5,2709911683532.7,3092821128451.4,2931501838235.3,2417638261411.4,2491397494468.0,2666403005061.4,2706340967030.7,2786315215250.0,3065223279583.8,2934857946213.5,2699659680997.2,2683399006715.8,2878152147315.8,2857057847953.0,2704609160088.2,3131377762926.0,
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,62225478000.9,67461644222.0,75607529809.9,84759195105.9,94007851047.4,101537248148.4,110045852177.9,118972977486.2,129785441507.5,141903068680.3,148456359985.8,165966615366.4,203494148244.5,264429876252.2,285552373158.8,360832186018.1,372319038514.1,410279486493.7,506707848837.2,613953129818.1,701288419745.4,615552202776.1,584877732308.6,559869179791.7,530683779929.5,553138414367.1,771470783218.1,934173305685.9,1018847043277.2,1025211803413.5,1269179616913.6,1269276828275.8,1401465923172.2,1322815612694.0,1393982750472.6,1601094756209.8,1605675086549.6,1452884917959.1,1503108739159.4,1493151737698.5,1365639660792.2,1377657339291.3,1501409382971.4,1844544792036.9,2119633181634.4,2196945232435.8,2320536221304.7,2660591246211.8,2930303780828.1,2700887366932.0,2645187882116.7,2865157541994.2,2683671716967.2,2811876903329.0,2855964488590.2,2439188643162.5,2472964344587.2,2595151045197.7,2790956878746.7,2728870246705.9,2639008701648.3,2957879759263.5,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,35019727479.6,38162991696.2,43149825508.2,49841484048.1,59381286567.1,75329791104.2,142815696156.1,157909172311.6,196558555571.6,226977749615.7,249110012225.7,338624721239.3,459809712578.8,474023173431.2,444130483040.0,418461865357.9,425898338751.3,419499441919.5,406984212652.9,440606191122.7,424900387791.5,455822972042.7,644066401761.6,471524008317.3,473812923870.0,482766656235.8,507766644052.7,556057972649.5,614192593286.9,662317161233.2,644494323434.5,712836792132.5,816019292861.2,798505436109.0,803122797644.8,887852467421.9,1056246691798.5,1297892893576.4,1538290265813.1,1790035967811.6,2253731073493.6,1978796922179.9,2327000352027.7,2541860324281.0,2787171487379.3,2843529425181.9,2895457837893.3,2538925219911.2,2516485492775.5,2598094271213.0,2800428454533.1,2818359324481.9,2491175410790.0,2862987423061.5,
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,40385288344.2,44842760293.2,50383891899.0,57710743059.8,63175417019.0,67978153850.5,73654870011.3,81133120065.4,87942231678.4,97085082807.4,113395315985.1,124672365792.8,145260039840.6,175492055795.4,199564489431.4,227695851126.9,224717278436.9,257596313364.1,315058323066.4,393677161500.8,477256775943.9,430702851303.0,427272645669.3,443042373788.9,437887689001.5,452217492140.8,640386352773.1,805713128174.5,891608957155.6,928661332204.4,1181222653523.0,1246220156079.3,1320161644933.2,1064958075550.6,1099216688280.5,1174662070605.0,1312426527795.2,1241879604365.6,1270052525928.4,1252446659833.8,1146676894209.7,1168023426056.4,1276769338449.3,1577621707050.5,1806542968545.6,1858217147203.7,1949551719389.6,2213102482751.5,2408655348718.6,2199928804118.6,2136099955236.7,2294994296589.5,2086957656821.6,2141924094298.6,2162009615996.5,1836637711060.6,1877071687633.8,1961796197354.4,2091932426267.0,2011302198827.5,1896755301518.1,2107702842669.7,
