country_name,team,elo
Albania,Skenderbeu,1284
Albania,Partizani Tirana,1252
Albania,KF Tirana,1249
Albania,Kukesi,1243
Algeria,CR Belouizdad,1537
Algeria,CS Constantine,1451
Algeria,ES Sétif,1450
Algeria,USM Alger,1449
Algeria,JS Saoura,1446
Algeria,JS Kabylie,1445
Algeria,MC Alger,1423
Algeria,MC Oran,1393
Algeria,ASO Chlef,1381
Algeria,Paradou AC,1359
Algeria,US Biskra,1357
Algeria,MC El Eulma,1349
Algeria,MC El Bayadh,1343
Algeria,JSM Béjaïa,1339
Algeria,NC Magra,1332
Algeria,USM Khenchela,1331
Algeria,Annaba,1330
Algeria,RC Arbaâ,1324
Algeria,USM El Harrach,1324
Algeria,DRB Tadjenanet,1316
Algeria,AS Aïn M'lila,1308
Algeria,Khroub,1304
Algeria,Saïda,1301
Algeria,MO Béjaia,1296
Algeria,Olympique de Medea,1291
Algeria,USM Bel Abbès,1284
Algeria,USM Blida,1268
Algeria,CA Batna,1255
Algeria,RC Relizane,1254
Algeria,NA Hussein Dey,1251
Algeria,Aïn Fakroun,1250
Algeria,MSP Batna,1244
Algeria,ASM Oran,1239
Algeria,HB Chelghoum Laïd,1236
Algeria,CA Bordj Bou Arreridj,1221
Algeria,WA Tlemcen,1196
Algeria,JSM Skikda,1189
Angola,1º de Agosto,1512
Angola,Atletico Petro Luanda,1502
Angola,Interclube de Angola,1391
Angola,Kabuscorp SCP,1382
Angola,Sagrada Esperança,1377
Angola,Recreativo do Libolo,1357
Angola,Benfica Luanda,1349
Angola,Recreativo da Caála,1343
Angola,FC Bravos DO Maquis,1341
Angola,Desportivo Da Huíla,1306
Angola,Wiliete SC,1306
Angola,Progresso da Lunda Sul,1276
Angola,Académica do Soyo,1272
Angola,Académica Lobito,1267
Angola,Atlético Sport Aviação,1266
Angola,Cabinda,1260
Angola,PA Sambizanga,1252
Angola,C.D. Lunda Sul,1250
Angola,Progresso Associação do Sambizanga,1249
Angola,Uniao Sport Clube do Uige,1248
Angola,GD Escolinha Isaac de Benguela,1247
Angola,Atlético do Namibe,1245
Angola,Santos de Angola,1243
Angola,GD Baixa de Kassanje,1242
Angola,Saurimo FC,1236
Angola,Ferroviário Do Huambo,1235
Angola,Nacional de Benguela,1230
Angola,Santa Rita de Cássia FC,1228
Angola,ASK Dragão do Uíge,1224
Angola,Domant FC,1223
Angola,Porcelana FC,1222
Angola,Sport Lubango e Benfica,1218
Angola,1º de Maio,1218
Angola,Sporting de Cabinda,1207
Angola,Sporting Clube de Benguela,1173
Argentina,River Plate,1709
Argentina,Talleres de Cordoba,1659
Argentina,Defensa y Justicia,1635
Argentina,Estudiantes de la Plata,1603
Argentina,Boca Juniors,1601
Argentina,San Lorenzo de Almagro,1599
Argentina,Racing Club,1573
Argentina,Argentinos Juniors,1571
Argentina,Newell's Old Boys,1564
Argentina,Rosario Central,1551
Argentina,Belgrano,1533
Argentina,Lanús,1524
Argentina,Godoy Cruz Antonio Tomba,1523
Argentina,Tigre,1514
Argentina,Vélez Sarsfield,1508
Argentina,Atlético Tucumán,1504
Argentina,Independiente,1500
Argentina,Sarmiento,1497
Argentina,Club Atlético Platense,1488
Argentina,Patronato de Parana,1487
Argentina,CA Central Cordoba,1481
Argentina,Huracán,1480
Argentina,Gimnasia y Esgrima La Plata,1478
Argentina,Barracas Central,1477
Argentina,San Martín San Juan,1466
Argentina,Colón Santa Fe,1457
Argentina,Nueva Chicago,1447
Argentina,Unión Santa Fe,1444
Argentina,San Martín de Tucumán,1441
Argentina,Instituto Atlético Central Córdoba,1441
Argentina,Arsenal de Sarandí,1430
Argentina,Banfield,1424
Argentina,All Boys,1422
Argentina,Atlético Rafaela,1420
Argentina,Temperley,1399
Argentina,Quilmes,1358
Argentina,Olimpo,1347
Argentina,Aldosivi,1342
Argentina,Chacarita Juniors,1339
Argentina,Crucero del Norte,1285
Armenia,FC Pyunik,1267
Armenia,Ararat-Armenia FC,1249
Armenia,FC Alashkert,1249
Australia,Melbourne City FC,1424
Australia,Sydney FC,1379
Australia,Gold Coast United,1352
