country_name,gdp_usd,mv_usd,bmi,life_exp,qol,power_rating
Afghanistan,14786861638.5,432,22.3,61.982,37,0
Albania,18255787479.2,2353752,27,76.463,54,0
Algeria,163044443983.8,3985416,24.7,76.377,51,0
American Samoa,709000000.0,0,0,0,0,0
Andorra,3330281523.5,1428192,27.6,0,0,0
Angola,67404287260.3,256176,22.1,61.643,0,0
Antigua and Barbuda,1471125925.9,4320,25.7,78.497,0,0
Arab World,2862987423061.5,0,0,70.81448302,0,0
Argentina,487227339102.7,34702992,27.8,75.39,55,0.71875
Armenia,13861409968.8,1707480,25.6,72.043,52,0
Aruba,3126019399.1,0,0,74.626,0,0
Australia,1552667363236.1,4021056,27.8,83.3,75,0.40625
Austria,480368403893.4,21712320,26.8,81.23902439,69,0
Azerbaijan,54622176470.6,3131784,26.1,69.366,46,0
"Bahamas, The",11208600000.0,0,0,71.598,0,0
Bahrain,38868663031.9,461376,25,78.76,59,0
Bangladesh,416264942893.3,1019952,21.3,72.381,46,0
Barbados,4843800000.0,0,26.5,77.571,0,0
Belarus,68205380706.7,2987280,26.7,72.37068293,43,0
Belgium,594104177539.5,40390704,27,81.8902439,63,0.625
Belize,2491500000.0,8640,27.5,70.47,0,0
Benin,17144918952.5,11880,22.4,59.821,0,0
Bermuda,7286607000.0,0,0,79.28,69,0
Bhutan,2539552984.7,33912,23.4,71.815,0,0
Bolivia,40408208528.2,5390712,0,63.63,50,0
Bosnia and Herzegovina,23365361635.2,0,26.6,75.3,52,0
Botswana,17614791265.7,0,22.2,61.141,59,0
Brazil,1608981456325.1,63863424,26.3,72.75,48,0.796875
British Virgin Islands,0.0,0,0,74.494,0,0
Brunei Darussalam,14006569575.7,132192,27.4,74.642,0,0
Bulgaria,84056312734.3,7717248,27.5,71.51463415,60,0
Burkina Faso,19737615114.4,14040,22.2,59.27,0,0
Burundi,2779813489.0,12960,21.6,61.663,41,0
Cabo Verde,1936174043.5,0,23.6,74.052,0,0
Cambodia,26961061119.8,110160,22,69.584,45,0
Cameroon,45338283344.8,11880,23.3,60.333,0,0.203125
Canada,1988336331717.4,6015816,27.6,82.59660976,68,0.015625
Caribbean small states,75295300457.3,0,0,0,0,0
Cayman Islands,5898449688.0,0,0,0,0,0
Central African Republic,2516498299.0,0,21.7,0,0,0
Chad,11779980801.8,21600,21.3,52.525,34,0
Channel Islands,0.0,0,0,81.232,0,0
Chile,317058508651.8,9310464,27.9,78.944,60,0
China,17734062645371.4,7871040,24.3,78.211,57,0
Colombia,314464137241.3,10539504,25.8,72.83,45,0.359375
Comoros,1296089632.6,0,23.2,63.417,0,0
"Congo, Dem. Rep.",55350968593.1,0,0,59.193,0,0
"Congo, Rep.",13366230219.5,0,0,63.519,0,0
Costa Rica,64282438666.7,1948104,26.8,77.023,57,0.125
Cote d'Ivoire,70043191477.1,0,0,58.598,0,0
Croatia,68955083280.2,12373776,28.4,76.42439024,64,0.890625
Cuba,0.0,0,25.4,73.683,0,0
Curacao,2699612458.1,0,0,0,0,0
Cyprus,28407867534.0,6401592,27.7,81.203,67,0
Czechia,281777887121.5,0,28.5,77.37317073,64,0
Denmark,398303272764.5,12856320,26.5,81.40487805,67,0.40625
Djibouti,3482987379.1,44181.81818,23.3,62.305,0,0
Dominica,554181481.5,0,25,72.814,0,0
Dominican Republic,94243453937.5,49248,25.5,72.615,51,0
Ecuador,106165866000.0,7421976,26.5,73.67,53,0.234375
"Egypt, Arab Rep.",404142766093.1,0,0,70.221,0,0
El Salvador,28736940000.0,1248480,26.6,70.748,45,0
Equatorial Guinea,12269392839.8,9000,22.2,60.594,0,0
Eritrea,0.0,0,20.1,66.536,0,0
Estonia,37191166152.0,1054944,27.2,76.74146341,61,0
