,country,team_name,market_val
0,Zimbabwe,Simba Bhora Football Club ,300000.0
1,Zimbabwe,CAPS United FC,175000.0
2,Zimbabwe,Global Sports Academy,0.0
3,Zimbabwe,FC Platinum U19,0.0
4,Zimbabwe,Cranborne Bullets FC,0.0
5,Zimbabwe,Manica Diamonds FC,0.0
6,Zimbabwe,Rio Tinto Kadoma,0.0
7,Zimbabwe,Mashonaland United,0.0
8,Zimbabwe,Mashonaland FC,0.0
9,Zimbabwe,Queen's Club Bulawayo,0.0
10,Zimbabwe,Police Soccer Club Salisbury,0.0
11,Zimbabwe,Salisbury Callies,0.0
12,Zimbabwe,Bulawayo Chiefs FC,0.0
13,Zimbabwe,Grain Tigers Rusape,0.0
14,Zimbabwe,Dongo Sawmills FC,0.0
15,Zimbabwe,Mutare City Rovers FC,0.0
16,Zimbabwe,Black Rhinos FC,0.0
17,Zimbabwe,Nichrut FC,0.0
18,Zimbabwe,Herentals FC,0.0
19,Zimbabwe,Chapungu United FC,0.0
20,Zimbabwe,Yadah FC,0.0
21,Zimbabwe,Ngezi Platinum FC,0.0
22,Zimbabwe,Triangle United FC,0.0
23,Zimbabwe,FC Talen Vision,0.0
24,Zimbabwe,Tsholotsho FC,0.0
0,Zanzibar,Kipanga FC,0.0
1,Zanzibar,Pili Pili DB Jambiani FC,0.0
2,Zanzibar,Kilimani City FC,0.0
3,Zanzibar,Malindi SC,0.0
4,Zanzibar,Mafunzo FC,0.0
5,Zanzibar,Kikosi cha Valantia Zanzibar Sports Club,0.0
6,Zanzibar,Kikosi Maalum cha Kuzuia Magendo FC,0.0
7,Zanzibar,Zimamoto FC,0.0
8,Zanzibar,Jeshi la Kujenga Uchumi Sports Club,0.0
9,Zanzibar,Mlandege Zanzibar,0.0
0,Zambia,ZESCO United FC,1280000.0
1,Zambia,Kabwe Warriors,150000.0
2,Zambia,Red Arrows FC,125000.0
3,Zambia,Zanaco FC,50000.0
4,Zambia,Kafue Celtic FC,25000.0
5,Zambia,Football Chance Academy,0.0
6,Zambia,Nangweshi Pirates,0.0
7,Zambia,Game On Academy,0.0
8,Zambia,Morkved Sports,0.0
9,Zambia,Chainda Bombers,0.0
10,Zambia,Pataaki FC,0.0
11,Zambia,Cubs FC,0.0
12,Zambia,Kamanya,0.0
13,Zambia,SATE Academy,0.0
14,Zambia,Atletico Lusaka FC,0.0
15,Zambia,Shamuel FC,0.0
16,Zambia,Butondo Western Tigers,0.0
17,Zambia,Buseko FC,0.0
18,Zambia,Ndola Lime FC,0.0
19,Zambia,Ndola United,0.0
20,Zambia,Young Green Eagles,0.0
21,Zambia,Prison Leopards FC,0.0
22,Zambia,New Monze Swallows,0.0
23,Zambia,Manchester United Zambia Academy,0.0
24,Zambia,Kansanshi Dynamos FC,0.0
0,Yemen,Al-Sha'ab Hadramaut,100000.0
1,Yemen,Al-Ahli Club Sana'a,100000.0
2,Yemen,Fahman Abyan Club,50000.0
3,Yemen,Al-Hilal Al-Sahili,50000.0
4,Yemen,Al-Wehda SC (Yemen),25000.0
5,Yemen,Tadamon Shapwah,0.0
6,Yemen,Al-Shabab Al-Baydaa Youth,0.0
7,Yemen,Socotra island’s football team,0.0
8,Yemen,Al-Shabab Al-Baydaa,0.0
9,Yemen,Al-Tadamon Mukalla,0.0
10,Yemen,Shamsan Club,0.0
11,Yemen,May 22 Sana'a,0.0
12,Yemen,Al-Tali'aa Taizz,0.0
13,Yemen,Al-Ahli Hudayda,0.0
14,Yemen,Al-Hilal Al-Hudaydah Jugend,0.0
15,Yemen,Al-Ahli Club Sana'a U19,0.0
16,Yemen,Al-Oruba (Zabid),0.0
17,Yemen,Al-Yarmuk Al-Rawda,0.0
18,Yemen,Al-Wehda SSC (Yemen),0.0
19,Yemen,Al-Ahli Taizz SC,0.0
20,Yemen,Shula Aden,0.0
21,Yemen,Al-Rasheed SCC,0.0
22,Yemen,Al-Tilal SC,0.0
23,Yemen,Sha'ab Ibb SCC,0.0
24,Yemen,Al-Ittihad Ibb,0.0
0,Wales,Swansea City,44750000.0
1,Wales,Cardiff City,44200000.0
2,Wales,Newport County,3750000.0
3,Wales,The New Saints,2049999.9999999998
4,Wales,Connah's Quay Nomads,1510000.0
5,Wales,Penybont FC,1340000.0
6,Wales,Bala Town,1330000.0
7,Wales,Newtown AFC,1050000.0
8,Wales,Haverfordwest County,1050000.0
9,Wales,Pontypridd United,985000.0
10,Wales,Caernarfon Town,920000.0
11,Wales,Cardiff Metropolitan University,895000.0
12,Wales,Flint Town United,845000.0
13,Wales,Colwyn Bay,810000.0
14,Wales,Aberystwyth Town,800000.0
15,Wales,Barry Town United,770000.0
16,Wales,Airbus UK Broughton,635000.0
17,Wales,Swansea City U21,350000.0
18,Wales,Cardiff City U21,110000.0
19,Wales,The New Saints Development,45000.0
20,Wales,Cardiff Met Reserves,40000.0
