,country_name,mv_play_dom,num_play_dom,mv_play_int,num_play_int
0,Australia,6550000.0,8.0,35350000.0,17.0
1,Belgium,11800000.0,2.0,446500000.0,21.0
2,Brazil,80000000.0,7.0,777000000.0,16.0
3,Cameroon,0.0,1.0,126950000.0,23.0
4,Canada,26800000.0,15.0,214125000.0,38.0
5,Colombia,14200000.0,6.0,120350000.0,18.0
6,Costa Rica,3100000.0,14.0,6825000.0,8.0
7,Croatia,58000000.0,6.0,302300000.0,18.0
8,Denmark,9000000.0,3.0,254300000.0,20.0
9,Ecuador,6500000.0,6.0,155000000.0,16.0
10,Egypt,21400000.0,17.0,90600000.0,7.0
11,England,1048000000.0,24.0,120000000.0,1.0
12,France,190000000.0,2.0,954000000.0,21.0
13,Germany,442500000.0,16.0,103000000.0,5.0
14,Iran,16500000.0,21.0,33725000.0,10.0
15,Japan,3200000.0,4.0,176300000.0,22.0
16,Mexico,131200000.0,28.0,104800000.0,12.0
17,Morocco,1275000.0,2.0,288600000.0,26.0
18,Netherlands,161000000.0,9.0,498000000.0,17.0
19,Nigeria,0.0,1.0,338400000.0,23.0
20,Panama,2775000.0,20.0,20800000.0,39.0
21,Peru,5675000.0,8.0,40900000.0,17.0
22,Poland,10500000.0,4.0,218500000.0,21.0
23,Portugal,186000000.0,7.0,739500000.0,19.0
24,Qatar,6575000.0,23.0,0.0,0.0
25,Russia,148900000.0,25.0,0.0,0.0
26,Saudi Arabia,14550000.0,20.0,0.0,0.0
27,Serbia,8700000.0,3.0,334200000.0,22.0
28,South Korea,17625000.0,13.0,158100000.0,13.0
29,Spain,492000000.0,17.0,295000000.0,8.0
30,Sweden,4400000.0,3.0,251500000.0,25.0
31,Switzerland,14700000.0,5.0,238000000.0,19.0
32,Tunisia,10900000.0,10.0,42950000.0,14.0
33,United States,71950000.0,23.0,351800000.0,37.0
34,Uruguay,11300000.0,3.0,274300000.0,28.0
35,Wales,13200000.0,3.0,156325000.0,22.0
36,Argentina,0.0,0.0,657000000.0,28.0
37,Ghana,0.0,0.0,241200000.0,26.0
38,Iceland,0.0,0.0,27600000.0,24.0
39,Senegal,0.0,0.0,204500000.0,22.0
