country_name,gdp_usd,mv_usd,bmi,life_exp,qol,power_rating,elo_rating,mv_play_dom,num_play_dom,mv_play_int,num_play_int,dom_int_mv_ratio,dom_perc,int_perc
Australia,1552667363236.1,4021056,27.8,83.3,75,0.40625,1424,6550000.00,8,35350000.00,17,0.394,0.32,0.68
Belgium,594104177539.5,40390704,27,81.8902439,63,0.625,1619,11800000.00,2,446500000.00,21,0.277,0.086956522,0.913043478
Brazil,1608981456325.1,63863424,26.3,72.75,48,0.796875,1823,80000000.00,7,777000000.00,16,0.235,0.304347826,0.695652174
Cameroon,45338283344.8,11880,23.3,60.333,0,0.203125,1465,0.00,1,126950000.00,23,0,0.041666667,0.958333333
Canada,1988336331717.4,6015816,27.6,82.59660976,68,0.015625,1379,26800000.00,15,214125000.00,38,0.317,0.283018868,0.716981132
Colombia,314464137241.3,10539504,25.8,72.83,45,0.359375,1675,14200000.00,6,120350000.00,18,0.354,0.25,0.75
Costa Rica,64282438666.7,1948104,26.8,77.023,57,0.125,1534,3100000.00,14,6825000.00,8,0.26,0.636363636,0.363636364
Croatia,68955083280.2,12373776,28.4,76.42439024,64,0.890625,1663,58000000.00,6,302300000.00,18,0.576,0.25,0.75
Denmark,398303272764.5,12856320,26.5,81.40487805,67,0.40625,1574,9000000.00,3,254300000.00,20,0.236,0.130434783,0.869565217
Ecuador,106165866000.0,7421976,26.5,73.67,53,0.234375,1689,6500000.00,6,155000000.00,16,0.112,0.272727273,0.727272727
France,2957879759263.5,148400640,26.3,82.32439024,68,0.96875,1794,190000000.00,2,954000000.00,21,2.091,0.086956522,0.913043478
Germany,4259934911821.6,195526224,27.9,80.90097561,70,0.375,1940,442500000.00,16,103000000.00,5,1.343,0.761904762,0.238095238
Japan,4940877780755.3,15033600,23.6,84.44560976,71,0.625,1605,3200000.00,4,176300000.00,22,0.1,0.153846154,0.846153846
Mexico,1272839334119.3,37256976,27.4,70.213,48,0.453125,1648,131200000.00,28,104800000.00,12,0.537,0.7,0.3
Morocco,142866329198.4,5786424,25.3,74.042,53,0.53125,1619,1275000.00,2,288600000.00,26,0.057,0.071428571,0.928571429
Netherlands,1012846760976.7,52036560,26.4,81.46097561,66,0.421875,1775,161000000.00,9,498000000.00,17,0.611,0.346153846,0.653846154
Nigeria,440833583992.5,142560,22.4,52.676,34,0.171875,1478,0.00,1,338400000.00,23,0,0.041666667,0.958333333
Panama,63605100000.0,1034640,26.2,76.223,0,0,1364,2775000.00,20,20800000.00,39,0.26,0.338983051,0.661016949
Peru,223249497500.4,8536320,26.1,72.377,51,0.203125,1552,5675000.00,8,40900000.00,17,0.295,0.32,0.68
Poland,679444832854.3,12699072,27.8,75.60243902,62,0.390625,1536,10500000.00,4,218500000.00,21,0.252,0.16,0.84
Portugal,253663144586.0,57848256,26.5,81.07317073,70,0.671875,1866,186000000.00,7,739500000.00,19,0.683,0.269230769,0.730769231
Serbia,63082047649.9,11256192,26.9,72.73073171,52,0.1875,1751,8700000.00,3,334200000.00,22,0.191,0.12,0.88
Spain,1427380681294.6,214500960,27.4,83.17804878,71,0.625,1918,492000000.00,17,295000000.00,8,0.785,0.68,0.32
Sweden,635663801201.8,10130832,27,83.15609756,68,0.390625,1528,4400000.00,3,251500000.00,25,0.146,0.107142857,0.892857143
Switzerland,800640155387.3,15020640,27.1,83.85121951,73,0.59375,1630,14700000.00,5,238000000.00,19,0.235,0.208333333,0.791666667
Tunisia,46686741814.3,4208112,25.6,73.772,54,0.296875,1547,10900000.00,10,42950000.00,14,0.355,0.416666667,0.583333333
United States,23315080560000.0,45082656,29,76.32926829,66,0.28125,1524,71950000.00,23,351800000.00,37,0.329,0.383333333,0.616666667
Uruguay,59319484710.7,8293104,27.4,75.436,67,0.59375,1616,11300000.00,3,274300000.00,28,0.384,0.096774194,0.903225806
