,players_mv,players_name,domestic_team,country_name,domestic_team_country,plays_domestically
0,28000000.0,Emiliano Martínez,aston-villa/startseite/verein/405,Argentina,England,N
1,10000000.0,Gerónimo Rulli,ajax-amsterdam/startseite/verein/610,Argentina,Netherlands,N
2,16000000.0,Facundo Medina,rc-lens/startseite/verein/826,Argentina,France,N
3,5000000.0,Germán Pezzella,real-betis-sevilla/startseite/verein/150,Argentina,Spain,N
4,10000000.0,Marcos Acuña,fc-sevilla/startseite/verein/368,Argentina,Spain,N
5,35000000.0,Nahuel Molina,atletico-madrid/startseite/verein/13,Argentina,Spain,N
6,28000000.0,Guido Rodríguez,real-betis-sevilla/startseite/verein/150,Argentina,Spain,N
7,42000000.0,Alexis Mac Allister,brighton-amp-hove-albion/startseite/verein/1237,Argentina,England,N
8,15000000.0,Exequiel Palacios,bayer-04-leverkusen/startseite/verein/15,Argentina,Germany,N
9,20000000.0,Thiago Almada,atlanta-united-fc/startseite/verein/51663,Argentina,United States,N
10,30000000.0,Nicolás González,ac-florenz/startseite/verein/430,Argentina,Italy,N
11,45000000.0,Lionel Messi,fc-paris-saint-germain/startseite/verein/583,Argentina,France,N
12,8000000.0,Ángel Di María,juventus-turin/startseite/verein/506,Argentina,Italy,N
13,15000000.0,Giovanni Simeone,ssc-neapel/startseite/verein/6195,Argentina,Italy,N
14,12000000.0,Walter Benítez,psv-eindhoven/startseite/verein/383,Argentina,Netherlands,N
15,60000000.0,Cristian Romero,tottenham-hotspur/startseite/verein/148,Argentina,England,N
16,10000000.0,Leonardo Balerdi,olympique-marseille/startseite/verein/244,Argentina,France,N
17,2000000.0,Nicolás Otamendi,benfica-lissabon/startseite/verein/294,Argentina,Portugal,N
18,9000000.0,Nicolás Tagliafico,olympique-lyon/startseite/verein/1041,Argentina,France,N
19,85000000.0,Enzo Fernández,fc-chelsea/startseite/verein/631,Argentina,England,N
20,12000000.0,Leandro Paredes,juventus-turin/startseite/verein/506,Argentina,Italy,N
21,40000000.0,Rodrigo de Paul,atletico-madrid/startseite/verein/13,Argentina,Spain,N
22,14000000.0,Giovani Lo Celso,fc-villarreal/startseite/verein/1050,Argentina,Spain,N
23,9000000.0,Facundo Buonanotte,brighton-amp-hove-albion/startseite/verein/1237,Argentina,England,N
24,25000000.0,Alejandro Garnacho,manchester-united/startseite/verein/985,Argentina,England,N
25,12000000.0,Lucas Ocampos,fc-sevilla/startseite/verein/368,Argentina,Spain,N
26,50000000.0,Julián Álvarez,manchester-city/startseite/verein/281,Argentina,England,N
27,4000000.0,Mathew Ryan,az-alkmaar/startseite/verein/1090,Australia,Netherlands,N
28,450000.0,Joe Gauci,adelaide-united/startseite/verein/875,Australia,Australia,Y
29,1000000.0,Kye Rowles,heart-of-midlothian-fc/startseite/verein/43,Australia,Scotland,N
30,800000.0,Gianni Stensness,viking-stavanger/startseite/verein/239,Australia,Norway,N
31,450000.0,Jordan Bos,melbourne-city-fc/startseite/verein/25580,Australia,Australia,Y
32,600000.0,Ryan Strain,st-mirren-fc/startseite/verein/465,Australia,Scotland,N
33,750000.0,Aiden O'Neill,melbourne-city-fc/startseite/verein/25580,Australia,Australia,Y
34,650000.0,Keanu Baccus,st-mirren-fc/startseite/verein/465,Australia,Scotland,N
35,4000000.0,Riley McGree,fc-middlesbrough/startseite/verein/641,Australia,England,N
36,1200000.0,Denis Genreau,fc-toulouse/startseite/verein/415,Australia,France,N
37,700000.0,Brandon Borrello,western-sydney-wanderers/startseite/verein/36100,Australia,Australia,Y
38,800000.0,Mitchell Duke,machida-zelvia/startseite/verein/23568,Australia,Japan,N
39,750000.0,Tom Glover,melbourne-city-fc/startseite/verein/25580,Australia,Australia,Y
40,15000000.0,Harry Souttar,leicester-city/startseite/verein/1003,Australia,England,N
41,900000.0,Alessandro Circati,parma-calcio-1913/startseite/verein/130,Australia,Italy,N
42,500000.0,Joel King,sydney-fc/startseite/verein/8054,Australia,Australia,Y
43,850000.0,Nathaniel Atkinson,heart-of-midlothian-fc/startseite/verein/43,Australia,Scotland,N
44,900000.0,Connor Metcalfe,fc-st-pauli/startseite/verein/35,Australia,Germany,N
45,700000.0,Cammy Devlin,heart-of-midlothian-fc/startseite/verein/43,Australia,Scotland,N
46,50000.0,Alex Robertson,manchester-city-u23/startseite/verein/9265,Australia,England,N
47,1500000.0,Ajdin Hrustic,hellas-verona/startseite/verein/276,Australia,Italy,N
48,700000.0,Mathew Leckie,melbourne-city-fc/startseite/verein/25580,Australia,Australia,Y
49,2000000.0,Jamie Maclaren,melbourne-city-fc/startseite/verein/25580,Australia,Australia,Y
50,45000000.0,Thibaut Courtois,real-madrid/startseite/verein/418,Belgium,Spain,N
51,4000000.0,Arnaud Bodart,standard-luttich/startseite/verein/3057,Belgium,Belgium,Y
52,20000000.0,Arthur Theate,fc-stade-rennes/startseite/verein/273,Belgium,France,N
