,country_name,mv_play_dom,num_play_dom,mv_play_int,num_play_int,dom_int_mv_ratio
0,Australia,6300000.0,8.0,32950000.0,15.0,0.35849772382397577
1,Belgium,33500000.0,5.0,334200000.0,19.0,0.3809096349491322
2,Brazil,73000000.0,6.0,837500000.0,17.0,0.24696517412935323
3,Cameroon,0.0,2.0,76450000.0,21.0,0.0
4,Canada,7250000.0,4.0,31825000.0,19.0,1.0820895522388059
5,Colombia,7700000.0,5.0,221000000.0,19.0,0.1323981900452489
6,Costa Rica,4000000.0,16.0,6750000.0,7.0,0.25925925925925924
7,Croatia,49800000.0,5.0,216800000.0,17.0,0.7809963099630995
8,Denmark,9000000.0,3.0,379700000.0,22.0,0.17382143797735053
9,Ecuador,5500000.0,5.0,161800000.0,19.0,0.1291718170580964
10,Egypt,26200000.0,24.0,93000000.0,4.0,0.04695340501792115
11,England,1064000000.0,25.0,120000000.0,1.0,0.3546666666666667
12,France,204000000.0,3.0,944000000.0,20.0,1.4406779661016949
13,Germany,602500000.0,15.0,215000000.0,8.0,1.4945736434108525
14,Ghana,125000.0,1.0,172300000.0,24.0,0.017411491584445733
15,Iran,12850000.0,15.0,42750000.0,10.0,0.20038986354775828
16,Japan,3450000.0,4.0,196300000.0,22.0,0.0966632705043301
17,Mexico,78500000.0,15.0,79100000.0,9.0,0.595448798988622
18,Morocco,1275000.0,2.0,302400000.0,26.0,0.05481150793650794
19,Netherlands,153000000.0,8.0,416000000.0,15.0,0.6896033653846154
20,Nigeria,0.0,4.0,347400000.0,19.0,0.0
21,Panama,150000.0,1.0,14825000.0,22.0,0.22259696458684655
22,Peru,9500000.0,11.0,25850000.0,13.0,0.43432389660629506
23,Poland,13800000.0,4.0,200400000.0,20.0,0.344311377245509
24,Portugal,226000000.0,7.0,744500000.0,19.0,0.8239470401995588
28,Serbia,9000000.0,3.0,319700000.0,27.0,0.25336252736940884
29,South Korea,16725000.0,13.0,116350000.0,12.0,0.13268982843542362
30,Spain,419000000.0,16.0,237000000.0,7.0,0.7734704641350211
31,Sweden,8700000.0,5.0,258100000.0,25.0,0.16853932584269662
32,Switzerland,23500000.0,6.0,220000000.0,19.0,0.3382575757575757
33,Tunisia,10550000.0,12.0,30375000.0,14.0,0.4052126200274348
34,United States,53675000.0,14.0,38500000.0,9.0,0.896243042671614
35,Uruguay,19650000.0,9.0,89000000.0,22.0,0.5397003745318353
36,Wales,17400000.0,3.0,159575000.0,22.0,0.7996240012533292
