Country Name,Country Code,Indicator Name,Indicator Code,1960.00,1961.00,1962.00,1963.00,1964.00,1965.00,1966.00,1967.00,1968.00,1969.00,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,21291524631.36,21809435284.98,23708060554.43,28211280561.29,26119938954.70,29683481336.05,32240542858.79,33516029588.41,36523093043.12,41830180279.67,44864583230.32,49481098052.97,53517203818.74,69603856569.28,86061571541.40,91653193181.79,91128569293.00,103420403329.82,115350126994.56,134677341922.26,170661859457.89,174394696089.58,167273687255.53,174925757219.66,160141026007.88,136303346909.24,152525018689.37,186152856097.74,204148844378.06,217548182694.89,253235204869.32,273414858794.99,238265945147.92,236537346754.79,240130679491.03,269648741744.56,268425523331.87,282197427432.65,265825811966.14,262183757225.13,283937941817.29,258829983740.49,264881490155.47,352674051427.54,438853140522.13,512233712292.51,575722407956.31,660827012895.54,708119166019.63,719095270493.80,860361207235.72,964213016259.69,972002199045.52,982677082467.19,1003403000510.52,923143900034.92,889859250365.41,1030482257898.25,1016696893390.38,1009051505055.59,934179085451.04,1089454323810.36,
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,10404135069.15,11127894641.02,11943187848.30,12676330764.69,13838369295.23,14862225759.91,15832591204.06,14426038229.77,14880349280.32,16882092549.47,23504605475.64,20832817218.39,25264953765.76,31273819025.97,44214484996.87,51444731784.03,62129390374.90,65315008068.10,71199708191.99,88628401268.68,112031308653.86,211003492000.19,187163726212.80,138115204947.35,114262670303.61,116507282627.20,107497542341.42,110321770123.66,108943464548.55,101768783075.20,121802125421.93,117457060715.76,118282253152.16,98826369836.03,86281743752.65,108221319966.44,125763022907.64,127063922266.80,130106822586.56,137521000392.09,140410259302.47,146779813046.93,176605835909.85,204470860701.30,253471913925.27,310094246800.23,395655858340.01,464425613626.87,566479463919.37,507029514633.98,597129288864.78,680455985950.41,736039861278.13,832216894624.60,892497905712.37,766957955078.11,690545418736.16,683748014299.70,766359667820.70,794719102944.19,784799699387.38,840187283626.45,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,35019727479.59,38162991696.24,43149825508.21,49841484048.14,59381286567.08,75329791104.24,142815696156.09,157909172311.58,196558555571.62,226977749615.67,249110012225.68,338624721239.32,459809712578.82,474023173431.20,444130483039.96,418461865357.88,425898338751.28,419499441919.47,406984212652.94,440606191122.67,424900387791.48,455822972042.69,644066401761.55,471524008317.29,473812923870.04,482766656235.82,507766644052.71,556057972649.45,614192593286.93,662317161233.18,644494323434.48,712836792132.53,816019292861.19,798505436109.02,803122797644.81,887852467421.85,1056246691798.46,1297892893576.40,1538290265813.10,1790035967811.60,2253731073493.57,1978796922179.86,2327000352027.74,2541860324280.98,2787171487379.26,2843529425181.90,2895457837893.28,2538925219911.17,2516485492775.50,2598094271212.95,2800428454533.12,2818359324481.87,2491175410790.00,2862987423061.49,
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,1880306125.09,2038301741.02,2153895647.51,2290313587.94,2470264539.68,2660946063.37,2888647977.98,3102515476.19,3083590686.78,3359706536.46,3695257613.12,4017606922.60,4639299319.34,5076285827.67,6595605182.85,7706760555.18,7932122920.87,9210482685.93,9433651129.17,10835423670.31,13495267729.83,14890317367.74,16517827316.88,16735576444.12,15982827316.95,15814747522.74,14441278727.64,15521747479.82,16459864446.85,16872897190.70,18149092106.45,18032784188.87,17750354024.32,19224151457.93,20205198136.79,22270861145.71,24291632638.74,28416225469.14,30354031334.46,32186916762.50,34533832084.90,35575806154.05,37324413478.89,39887628735.73,43625651968.65,49307102490.02,56074282810.57,62328931282.11,70781392493.06,59840576905.62,64943467922.02,70083173168.56,73852722208.22,75232098978.67,76921757095.95,75669285315.66,71061689479.81,73590179849.84,76350610223.41,77428424853.90,65896805290.33,75295300457.30,
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256288070611.52,242683324226.93,259918752603.52,274064664920.23,310888974011.87,393279572380.39,416051955747.43,410025564378.61,448739085358.77,434923909421.91,428275378877.53,468810933850.14,528403662973.91,634159571510.15,763250806102.14,886879187178.94,1002944446030.06,1266891740290.63,1533142323271.79,1291091757413.16,1318304829758.37,1455318278974.07,1359030050594.38,1416961929448.89,1462687483688.63,1292823477883.11,1316465869392.30,1461462997744.97,1649466156164.77,1675083820501.22,1664902507747.84,1901935313869.67,
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,158207028110.52,159178740736.03,164016550962.16,174002727352.37,199308121633.36,215883601437.85,213170163779.56,224033123597.85,242723559774.29,270835710640.13,286516192471.61,310180119928.62,339094678748.77,433322067658.55,606166324070.93,651588209475.21,711372173148.28,794876025478.81,882441046947.70,1072707121264.62,1334650648736.53,1491257347469.78,1419016522636.31,1429345740501.95,1418372788630.26,1457342970602.49,1469790802472.03,1480761113376.12,1554594461933.59,1584645586573.37,1860045176631.33,1966540431142.51,2162736019107.52,2375983217841.76,2497988666839.71,2561133918036.76,2792366886416.11,2984857580530.14,2942819451119.23,3112671672988.81,3386373612180.98,3356995214996.41,3264190387135.55,3632856924973.88,4229725075661.74,4932002537834.11,5639084199757.26,6672113667692.29,7524109809617.10,7262190969824.11,8804980626100.26,9718645490075.39,10156314631806.00,10297645688404.50,10651444170099.70,10131735163334.50,10458224448027.40,11295052797674.60,11421920659971.40,11638001740869.60,10851370332817.70,12637296304146.50,
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,154634893528.04,155170778627.41,158387606831.32,176729370270.37,202713926530.74,225620618889.15,252105603041.09,273181770839.37,301202928676.13,346860299339.05,408896539556.34,453725031770.07,563009354818.64,741891037040.45,854706042923.22,935821147762.67,1028853168053.41,1225991951858.03,1546796441106.22,1679994249922.13,1815967769395.32,2001891533039.33,1962329319879.88,2087907980154.55,2235984997380.42,2359536487852.28,3082610420785.46,3619763321194.51,4354921109375.29,4536215440344.30,4738186814505.08,5349242421939.70,5844850548203.31,6536236878858.36,7403860779033.24,8407332504653.75,8101129990852.96,7744677565998.40,6929772564128.86,7740373522439.64,8374985727131.45,7788976174282.74,7911873429625.54,8699259628292.05,9756924029391.23,10409558236937.10,11031671606764.00,12325993218625.90,14210783479872.00,14623047438738.20,17066377556712.50,19790636811566.90,21172191176755.00,21410741686661.60,22086206227634.10,21997211707026.90,22772039950316.90,24324883921969.00,26482255890882.10,27028297830157.60,27127309724583.30,30911686458694.30,
East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,81346963310.48,71614401108.67,65396585452.57,70843944144.46,81762809534.73,95180592498.50,104077456326.02,101006786524.95,102278978511.50,114795815984.85,127487276680.47,137064705647.89,155445877761.20,195584373710.02,221254170966.01,248665266089.65,252691766614.91,291651755409.08,282822965913.89,327634512694.68,378128688022.60,403652101770.03,423791820210.09,443948324153.61,481021873895.92,526457825451.03,525158670480.17,519069047795.94,575627454786.31,622530225646.82,667366875607.41,723841909070.63,811268029273.57,890521384131.94,1071595535055.29,1322130294072.05,1518469693532.77,1572049203861.79,1431783619126.16,1575692556418.66,1734674377491.78,1847475162353.55,2044357718067.13,2311827507782.56,2682432420161.91,3106988566419.54,3740827421397.93,4727901190261.73,5978961071407.11,6484665214338.25,7889502259288.54,9645534117729.76,10759166957139.00,11871140152558.30,12798834538401.60,13327590633526.20,13612470859504.00,14877277929156.40,16640444719655.70,17207855739652.50,17486916629390.60,20751789915914.30,
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,81224993497.40,71507024081.16,65298531278.46,70737722322.85,81640216211.14,95037880851.95,103921404921.30,100855339213.69,102125623704.09,114623693711.95,127296125115.93,136859193901.07,155212805697.00,195291118884.86,220922427422.33,248292422964.46,252312886245.10,291214459305.51,282398907499.35,327143264851.53,377561730344.98,403046874858.04,423156396255.78,443282677989.18,480300640482.14,525668466390.12,524371259343.09,518290767302.59,574764371885.49,621596817782.88,666366240675.70,722756596739.86,810051632178.15,889186156333.02,1069988808733.94,1320147921549.73,1516192934116.59,1569692108529.02,1429636834866.55,1573329998324.75,1732073445619.53,1844705099513.34,2041292453936.76,2308416192358.04,2678573244989.15,3102608150112.03,3735662384351.52,4721478366368.18,5970933760213.65,6475891313040.22,7879075814544.81,9632925414241.57,10745121560845.90,11855702839095.20,12782234168171.30,13310278570875.90,13594816477316.60,14858104901052.90,16619046649580.00,17185732294158.70,17464369876211.70,20725171469830.40,
