,team,power_rating
0,Argentina,0.71875
1,Australia,0.40625
2,Belgium,0.625
3,Brazil,0.796875
4,Cameroon,0.203125
5,Canada,0.015625
6,Colombia,0.359375
7,Costa Rica,0.125
8,Croatia,0.890625
9,Denmark,0.40625
10,Ecuador,0.234375
11,Egypt,0.015625
12,England,0.84375
13,France,0.96875
14,Germany,0.375
15,Ghana,0.125
16,Iceland,0.03125
17,Iran,0.328125
18,Japan,0.625
19,Mexico,0.453125
20,Morocco,0.53125
21,Netherlands,0.421875
22,Nigeria,0.171875
23,Panama,0.0
24,Peru,0.203125
25,Poland,0.390625
26,Portugal,0.671875
27,Qatar,0.0
28,Russia,0.375
29,Saudi Arabia,0.203125
30,Senegal,0.546875
31,Serbia,0.1875
32,South Korea,0.4375
33,Spain,0.625
34,Sweden,0.390625
35,Switzerland,0.59375
36,Tunisia,0.296875
37,United States,0.28125
38,Uruguay,0.59375
39,Wales,0.03125
